,thinktank,year,pub,num_cites,expenses,age,con_lib
0,Acton Institute,2014,WP,1,9.428238,24,1
1,Acton Institute,2015,WSJ,2,10.416484,25,1
2,Acton Institute,2016,WSJ,2,9.987692,26,1
3,Acton Institute,2017,NYT,1,10.96491,27,1
4,American Action Forum,2014,NYT,2,4.878999,5,1
5,American Action Forum,2014,WP,5,4.878999,5,1
6,American Action Forum,2014,WSJ,12,4.878999,5,1
7,American Action Forum,2015,NYT,8,5.145811,6,1
8,American Action Forum,2015,WP,10,5.145811,6,1
9,American Action Forum,2015,WSJ,19,5.145811,6,1
10,American Action Forum,2016,NYT,14,5.351985,7,1
11,American Action Forum,2016,WP,26,5.351985,7,1
12,American Action Forum,2016,WSJ,16,5.351985,7,1
13,American Action Forum,2017,NYT,12,4.863097,8,1
14,American Action Forum,2017,WP,27,4.863097,8,1
15,American Action Forum,2017,WSJ,10,4.863097,8,1
16,American Action Forum,2018,NYT,9,3.94249,9,1
17,American Action Forum,2018,WP,20,3.94249,9,1
18,American Action Forum,2018,WSJ,3,3.94249,9,1
19,American Enterprise Institute,2014,NYT,35,35.435906,76,1
20,American Enterprise Institute,2014,WP,40,35.435906,76,1
21,American Enterprise Institute,2014,WSJ,45,35.435906,76,1
22,American Enterprise Institute,2015,NYT,56,38.611315,77,1
23,American Enterprise Institute,2015,WP,48,38.611315,77,1
24,American Enterprise Institute,2015,WSJ,48,38.611315,77,1
25,American Enterprise Institute,2016,NYT,51,46.953435,78,1
26,American Enterprise Institute,2016,WP,43,46.953435,78,1
27,American Enterprise Institute,2016,WSJ,38,46.953435,78,1
28,American Enterprise Institute,2017,NYT,71,55.822303,79,1
29,American Enterprise Institute,2017,WP,82,55.822303,79,1
30,American Enterprise Institute,2017,WSJ,36,55.822303,79,1
31,American Enterprise Institute,2018,NYT,54,50.853733,80,1
32,American Enterprise Institute,2018,WP,97,50.853733,80,1
33,American Enterprise Institute,2018,WSJ,35,50.853733,80,1
34,American Foreign Policy Council,2014,NYT,2,1.370675,32,1
35,American Foreign Policy Council,2015,NYT,1,1.552242,33,1
36,American Foreign Policy Council,2017,NYT,2,2.354853,35,1
37,American Foreign Policy Council,2017,WP,1,2.354853,35,1
38,American Institute for Economic Research,2014,WSJ,2,4.25122,81,1
39,American Institute for Economic Research,2015,WSJ,1,4.548603,82,1
40,American Israel Public Affairs Committee,2014,NYT,8,69.267598,51,1
41,American Israel Public Affairs Committee,2014,WP,3,69.267598,51,1
42,American Israel Public Affairs Committee,2014,WSJ,2,69.267598,51,1
43,American Israel Public Affairs Committee,2015,NYT,18,102.306859,52,1
44,American Israel Public Affairs Committee,2015,WP,20,102.306859,52,1
45,American Israel Public Affairs Committee,2015,WSJ,7,102.306859,52,1
46,American Israel Public Affairs Committee,2016,NYT,11,103.897542,53,1
47,American Israel Public Affairs Committee,2016,WP,4,103.897542,53,1
48,American Israel Public Affairs Committee,2016,WSJ,6,103.897542,53,1
49,American Israel Public Affairs Committee,2017,NYT,9,99.327173,54,1
50,American Israel Public Affairs Committee,2017,WP,4,99.327173,54,1
51,American Israel Public Affairs Committee,2017,WSJ,1,99.327173,54,1
52,American Israel Public Affairs Committee,2018,NYT,5,102.398623,55,1
53,American Israel Public Affairs Committee,2018,WP,4,102.398623,55,1
54,Americans for the Arts,2014,NYT,3,12.848646,54,0
55,Americans for the Arts,2014,WP,4,12.848646,54,0
56,Americans for the Arts,2015,NYT,1,15.520814,55,0
57,Americans for the Arts,2016,NYT,1,18.412414,56,0
58,Americans for the Arts,2016,WP,1,18.412414,56,0
59,Americans for the Arts,2016,WSJ,1,18.412414,56,0
60,Americans for the Arts,2017,NYT,7,16.084664,57,0
61,Americans for the Arts,2017,WP,1,16.084664,57,0
62,Americans for the Arts,2018,NYT,1,17.778317,58,0
63,Arctic Institute,2014,WSJ,2,0.0,3,0
64,Arctic Institute,2016,NYT,1,0.0,5,0
65,Arctic Institute,2018,WSJ,1,0.0,7,0
66,Asia Society,2014,NYT,16,29.621738,58,0
67,Asia Society,2014,WP,4,29.621738,58,0
68,Asia Society,2014,WSJ,3,29.621738,58,0
69,Asia Society,2015,NYT,10,31.401072,59,0
70,Asia Society,2015,WSJ,2,31.401072,59,0
71,Asia Society,2016,NYT,7,33.872871,60,0
72,Asia Society,2016,WP,1,33.872871,60,0
73,Asia Society,2016,WSJ,2,33.872871,60,0
74,Asia Society,2017,NYT,15,31.773102,61,0
75,Asia Society,2017,WP,14,31.773102,61,0
76,Asia Society,2017,WSJ,4,31.773102,61,0
77,Asia Society,2018,NYT,20,30.855209,62,0
78,Asia Society,2018,WP,11,30.855209,62,0
79,Asia Society,2018,WSJ,9,30.855209,62,0
80,Aspen Institute,2014,NYT,4,91.36283,65,0
81,Aspen Institute,2014,WP,13,91.36283,65,0
82,Aspen Institute,2014,WSJ,5,91.36283,65,0
83,Aspen Institute,2015,NYT,11,101.379117,66,0
84,Aspen Institute,2015,WP,10,101.379117,66,0
85,Aspen Institute,2015,WSJ,1,101.379117,66,0
86,Aspen Institute,2016,NYT,3,114.454026,67,0
87,Aspen Institute,2016,WP,6,114.454026,67,0
88,Aspen Institute,2016,WSJ,1,114.454026,67,0
89,Aspen Institute,2017,NYT,9,136.995834,68,0
90,Aspen Institute,2017,WP,7,136.995834,68,0
91,Aspen Institute,2017,WSJ,1,136.995834,68,0
92,Aspen Institute,2018,NYT,7,143.100716,69,0
93,Aspen Institute,2018,WP,8,143.100716,69,0
94,Aspen Institute,2018,WSJ,4,143.100716,69,0
95,Atlantic Council,2014,NYT,38,20.481764,53,0
96,Atlantic Council,2014,WP,28,20.481764,53,0
97,Atlantic Council,2014,WSJ,27,20.481764,53,0
98,Atlantic Council,2015,NYT,24,22.261852,54,0
99,Atlantic Council,2015,WP,28,22.261852,54,0
100,Atlantic Council,2015,WSJ,20,22.261852,54,0
101,Atlantic Council,2016,NYT,32,24.021033,55,0
102,Atlantic Council,2016,WP,28,24.021033,55,0
103,Atlantic Council,2016,WSJ,22,24.021033,55,0
104,Atlantic Council,2017,NYT,41,27.655974,56,0
105,Atlantic Council,2017,WP,39,27.655974,56,0
106,Atlantic Council,2017,WSJ,19,27.655974,56,0
107,Atlantic Council,2018,NYT,38,28.215782,57,0
108,Atlantic Council,2018,WP,56,28.215782,57,0
109,Atlantic Council,2018,WSJ,24,28.215782,57,0
110,Atlas Network,2014,WP,1,10.283691,33,1
111,Atlas Network,2015,WSJ,1,11.098132,34,1
112,Atlas Network,2016,NYT,1,13.578129,35,1
113,Atlas Network,2016,WSJ,1,13.578129,35,1
114,Ayn Rand Institute,2014,WP,1,10.711413,29,1
115,Ayn Rand Institute,2016,NYT,1,8.900086,31,1
116,Ayn Rand Institute,2017,NYT,1,9.513258,32,1
117,Battelle Memorial Institute,2014,NYT,1,4870.339928,85,0
118,Battelle Memorial Institute,2014,WSJ,4,4870.339928,85,0
119,Battelle Memorial Institute,2015,WSJ,1,4809.182027,86,0
120,Battelle Memorial Institute,2016,WP,1,4910.674794,87,0
121,Beacon Center of Tennessee,2015,NYT,1,0.989162,11,1
122,Beacon Center of Tennessee,2016,NYT,1,1.48489,12,1
123,Beacon Hill Institute,2017,WP,2,0.163069,26,0
124,Belfer Center for Science and International Affairs,2014,NYT,10,0.0,41,0
125,Belfer Center for Science and International Affairs,2014,WP,1,0.0,41,0
126,Belfer Center for Science and International Affairs,2014,WSJ,1,0.0,41,0
127,Belfer Center for Science and International Affairs,2015,NYT,4,0.0,42,0
128,Belfer Center for Science and International Affairs,2015,WP,6,0.0,42,0
129,Belfer Center for Science and International Affairs,2015,WSJ,4,0.0,42,0
130,Belfer Center for Science and International Affairs,2016,NYT,2,0.0,43,0
131,Belfer Center for Science and International Affairs,2016,WP,5,0.0,43,0
132,Belfer Center for Science and International Affairs,2016,WSJ,1,0.0,43,0
133,Belfer Center for Science and International Affairs,2017,NYT,11,0.0,44,0
134,Belfer Center for Science and International Affairs,2017,WP,12,0.0,44,0
135,Belfer Center for Science and International Affairs,2017,WSJ,1,0.0,44,0
136,Belfer Center for Science and International Affairs,2018,NYT,2,0.0,45,0
137,Belfer Center for Science and International Affairs,2018,WP,5,0.0,45,0
138,Belfer Center for Science and International Affairs,2018,WSJ,4,0.0,45,0
139,Berggruen Institute,2014,NYT,1,1.052448,4,0
140,Berggruen Institute,2015,NYT,1,3.182357,5,0
141,Berggruen Institute,2016,NYT,1,7.864358,6,0
142,Berggruen Institute,2017,NYT,1,9.088455,7,0
143,Berggruen Institute,2017,WSJ,1,9.088455,7,0
144,Bipartisan Policy Center,2014,NYT,8,23.009557,7,0
145,Bipartisan Policy Center,2014,WP,10,23.009557,7,0
146,Bipartisan Policy Center,2014,WSJ,7,23.009557,7,0
147,Bipartisan Policy Center,2015,NYT,8,21.667384,8,0
148,Bipartisan Policy Center,2015,WP,7,21.667384,8,0
149,Bipartisan Policy Center,2015,WSJ,8,21.667384,8,0
150,Bipartisan Policy Center,2016,NYT,10,22.901624,9,0
151,Bipartisan Policy Center,2016,WP,12,22.901624,9,0
152,Bipartisan Policy Center,2016,WSJ,11,22.901624,9,0
153,Bipartisan Policy Center,2017,NYT,15,20.321287,10,0
154,Bipartisan Policy Center,2017,WP,14,20.321287,10,0
155,Bipartisan Policy Center,2017,WSJ,16,20.321287,10,0
156,Bipartisan Policy Center,2018,NYT,5,20.319693,11,0
157,Bipartisan Policy Center,2018,WP,13,20.319693,11,0
158,Bipartisan Policy Center,2018,WSJ,4,20.319693,11,0
159,Brookings Institution,2014,NYT,162,99.568985,98,0
160,Brookings Institution,2014,WP,164,99.568985,98,0
161,Brookings Institution,2014,WSJ,110,99.568985,98,0
162,Brookings Institution,2015,NYT,169,107.926103,99,0
163,Brookings Institution,2015,WP,154,107.926103,99,0
164,Brookings Institution,2015,WSJ,114,107.926103,99,0
165,Brookings Institution,2016,NYT,136,104.635286,100,0
166,Brookings Institution,2016,WP,118,104.635286,100,0
167,Brookings Institution,2016,WSJ,86,104.635286,100,0
168,Brookings Institution,2017,NYT,164,100.059312,101,0
169,Brookings Institution,2017,WP,167,100.059312,101,0
170,Brookings Institution,2017,WSJ,61,100.059312,101,0
171,Brookings Institution,2018,NYT,169,98.957742,102,0
172,Brookings Institution,2018,WP,189,98.957742,102,0
173,Brookings Institution,2018,WSJ,60,98.957742,102,0
174,Buckeye Institute,2016,NYT,1,1.702944,27,0
175,Buckeye Institute,2016,WSJ,1,1.702944,27,0
176,Carnegie Endowment for International Peace,2014,NYT,34,32.939297,104,0
177,Carnegie Endowment for International Peace,2014,WP,25,32.939297,104,0
178,Carnegie Endowment for International Peace,2014,WSJ,17,32.939297,104,0
179,Carnegie Endowment for International Peace,2015,NYT,30,33.996712,105,0
180,Carnegie Endowment for International Peace,2015,WP,34,33.996712,105,0
181,Carnegie Endowment for International Peace,2015,WSJ,16,33.996712,105,0
182,Carnegie Endowment for International Peace,2016,NYT,31,34.710554,106,0
183,Carnegie Endowment for International Peace,2016,WP,17,34.710554,106,0
