,thinktank,year,pub,num_cites,expenses,age,con_lib
0,American Action Forum,2014,WSJ,3,4.878999,5,1
1,American Action Forum,2015,NYT,5,5.145811,6,1
2,American Action Forum,2015,WP,2,5.145811,6,1
3,American Action Forum,2015,WSJ,8,5.145811,6,1
4,American Action Forum,2016,NYT,6,5.351985,7,1
5,American Action Forum,2016,WP,7,5.351985,7,1
6,American Action Forum,2016,WSJ,8,5.351985,7,1
7,American Action Forum,2017,NYT,6,4.863097,8,1
8,American Action Forum,2017,WP,11,4.863097,8,1
9,American Action Forum,2017,WSJ,2,4.863097,8,1
10,American Action Forum,2018,NYT,2,3.94249,9,1
11,American Action Forum,2018,WP,6,3.94249,9,1
12,American Action Forum,2018,WSJ,1,3.94249,9,1
13,American Enterprise Institute,2014,NYT,5,35.435906,76,1
14,American Enterprise Institute,2014,WP,5,35.435906,76,1
15,American Enterprise Institute,2014,WSJ,12,35.435906,76,1
16,American Enterprise Institute,2015,NYT,15,38.611315,77,1
17,American Enterprise Institute,2015,WP,10,38.611315,77,1
18,American Enterprise Institute,2015,WSJ,13,38.611315,77,1
19,American Enterprise Institute,2016,NYT,13,46.953435,78,1
20,American Enterprise Institute,2016,WP,8,46.953435,78,1
21,American Enterprise Institute,2016,WSJ,13,46.953435,78,1
22,American Enterprise Institute,2017,NYT,25,55.822303,79,1
23,American Enterprise Institute,2017,WP,24,55.822303,79,1
24,American Enterprise Institute,2017,WSJ,14,55.822303,79,1
25,American Enterprise Institute,2018,NYT,11,50.853733,80,1
26,American Enterprise Institute,2018,WP,21,50.853733,80,1
27,American Enterprise Institute,2018,WSJ,8,50.853733,80,1
28,American Foreign Policy Council,2014,NYT,1,1.370675,32,1
29,American Israel Public Affairs Committee,2015,NYT,1,102.306859,52,1
30,American Israel Public Affairs Committee,2016,NYT,1,103.897542,53,1
31,American Israel Public Affairs Committee,2017,NYT,1,99.327173,54,1
32,American Israel Public Affairs Committee,2018,NYT,1,102.398623,55,1
33,American Israel Public Affairs Committee,2018,WP,1,102.398623,55,1
34,Americans for the Arts,2017,NYT,1,16.084664,57,0
35,Asia Society,2017,WP,1,31.773102,61,0
36,Asia Society,2018,NYT,1,30.855209,62,0
37,Aspen Institute,2014,WP,4,91.36283,65,0
38,Aspen Institute,2014,WSJ,1,91.36283,65,0
39,Aspen Institute,2015,NYT,1,101.379117,66,0
40,Aspen Institute,2017,NYT,3,136.995834,68,0
41,Aspen Institute,2017,WP,2,136.995834,68,0
42,Aspen Institute,2017,WSJ,1,136.995834,68,0
43,Aspen Institute,2018,WP,1,143.100716,69,0
44,Atlantic Council,2014,NYT,2,20.481764,53,0
45,Atlantic Council,2014,WP,2,20.481764,53,0
46,Atlantic Council,2014,WSJ,1,20.481764,53,0
47,Atlantic Council,2015,WP,3,22.261852,54,0
48,Atlantic Council,2015,WSJ,1,22.261852,54,0
49,Atlantic Council,2016,NYT,4,24.021033,55,0
50,Atlantic Council,2016,WP,3,24.021033,55,0
51,Atlantic Council,2017,NYT,2,27.655974,56,0
52,Atlantic Council,2017,WP,2,27.655974,56,0
53,Atlantic Council,2018,NYT,2,28.215782,57,0
54,Atlantic Council,2018,WP,3,28.215782,57,0
55,Atlantic Council,2018,WSJ,4,28.215782,57,0
56,Atlas Network,2015,WSJ,1,11.098132,34,1
57,Atlas Network,2016,NYT,1,13.578129,35,1
58,Atlas Network,2016,WSJ,1,13.578129,35,1
59,Ayn Rand Institute,2017,NYT,1,9.513258,32,1
60,Battelle Memorial Institute,2014,WSJ,1,4870.339928,85,0
61,Beacon Hill Institute,2017,WP,1,0.163069,26,0
62,Belfer Center for Science and International Affairs,2014,NYT,1,4.351888,41,0
63,Belfer Center for Science and International Affairs,2017,WP,1,4.548092,44,0
64,Bipartisan Policy Center,2014,NYT,1,23.009557,7,0
65,Bipartisan Policy Center,2014,WP,2,23.009557,7,0
66,Bipartisan Policy Center,2014,WSJ,4,23.009557,7,0
67,Bipartisan Policy Center,2015,NYT,3,21.667384,8,0
68,Bipartisan Policy Center,2015,WP,2,21.667384,8,0
69,Bipartisan Policy Center,2015,WSJ,3,21.667384,8,0
