,thinktank,year,pub,num_cites,expenses,age,con_lib
0,American Action Forum,2014,NYT,1,4.878999,5,1
1,American Action Forum,2015,NYT,1,5.145811,6,1
2,American Action Forum,2015,WSJ,2,5.145811,6,1
3,American Action Forum,2016,NYT,1,5.351985,7,1
4,American Action Forum,2016,WP,3,5.351985,7,1
5,American Action Forum,2017,WP,4,4.863097,8,1
6,American Action Forum,2018,NYT,1,3.94249,9,1
7,American Action Forum,2018,WSJ,1,3.94249,9,1
8,American Enterprise Institute,2014,NYT,7,35.435906,76,1
9,American Enterprise Institute,2014,WP,5,35.435906,76,1
10,American Enterprise Institute,2014,WSJ,9,35.435906,76,1
11,American Enterprise Institute,2015,NYT,6,38.611315,77,1
12,American Enterprise Institute,2015,WP,6,38.611315,77,1
13,American Enterprise Institute,2015,WSJ,4,38.611315,77,1
14,American Enterprise Institute,2016,NYT,12,46.953435,78,1
15,American Enterprise Institute,2016,WP,4,46.953435,78,1
16,American Enterprise Institute,2016,WSJ,5,46.953435,78,1
17,American Enterprise Institute,2017,NYT,9,55.822303,79,1
18,American Enterprise Institute,2017,WP,12,55.822303,79,1
19,American Enterprise Institute,2017,WSJ,6,55.822303,79,1
20,American Enterprise Institute,2018,NYT,7,50.853733,80,1
21,American Enterprise Institute,2018,WP,13,50.853733,80,1
22,American Enterprise Institute,2018,WSJ,4,50.853733,80,1
23,American Foreign Policy Council,2014,NYT,1,1.370675,32,1
24,American Foreign Policy Council,2017,WP,1,2.354853,35,1
25,American Israel Public Affairs Committee,2014,NYT,1,69.267598,51,1
26,American Israel Public Affairs Committee,2016,NYT,1,103.897542,53,1
27,American Israel Public Affairs Committee,2016,WP,1,103.897542,53,1
28,Americans for the Arts,2016,NYT,1,18.412414,56,0
29,Americans for the Arts,2017,NYT,1,16.084664,57,0
30,Arctic Institute,2016,NYT,1,0.0,5,0
31,Asia Society,2014,NYT,2,29.621738,58,0
32,Asia Society,2014,WSJ,1,29.621738,58,0
33,Asia Society,2015,NYT,1,31.401072,59,0
34,Asia Society,2016,NYT,1,33.872871,60,0
35,Asia Society,2017,NYT,1,31.773102,61,0
36,Asia Society,2017,WP,1,31.773102,61,0
37,Asia Society,2017,WSJ,1,31.773102,61,0
38,Asia Society,2018,WP,3,30.855209,62,0
39,Aspen Institute,2014,NYT,1,91.36283,65,0
40,Aspen Institute,2014,WP,6,91.36283,65,0
41,Aspen Institute,2014,WSJ,1,91.36283,65,0
42,Aspen Institute,2015,NYT,3,101.379117,66,0
43,Aspen Institute,2015,WP,1,101.379117,66,0
44,Aspen Institute,2016,WP,1,114.454026,67,0
45,Aspen Institute,2017,NYT,2,136.995834,68,0
46,Aspen Institute,2018,NYT,2,143.100716,69,0
47,Aspen Institute,2018,WP,2,143.100716,69,0
48,Aspen Institute,2018,WSJ,1,143.100716,69,0
49,Atlantic Council,2014,NYT,2,20.481764,53,0
50,Atlantic Council,2014,WP,1,20.481764,53,0
51,Atlantic Council,2014,WSJ,1,20.481764,53,0
52,Atlantic Council,2015,NYT,1,22.261852,54,0
53,Atlantic Council,2016,NYT,1,24.021033,55,0
54,Atlantic Council,2016,WP,1,24.021033,55,0
55,Atlantic Council,2017,WP,1,27.655974,56,0
56,Atlantic Council,2018,WP,1,28.215782,57,0
57,Atlas Network,2014,WP,1,10.283691,33,1
58,Ayn Rand Institute,2014,WP,1,10.711413,29,1
59,Ayn Rand Institute,2017,NYT,1,9.513258,32,1
60,Belfer Center for Science and International Affairs,2014,NYT,3,4.351888,41,0
61,Belfer Center for Science and International Affairs,2014,WSJ,1,4.351888,41,0
62,Belfer Center for Science and International Affairs,2015,NYT,2,4.362669,42,0
63,Belfer Center for Science and International Affairs,2015,WP,5,4.362669,42,0
64,Belfer Center for Science and International Affairs,2015,WSJ,3,4.362669,42,0
65,Belfer Center for Science and International Affairs,2016,NYT,1,4.569121,43,0
66,Belfer Center for Science and International Affairs,2016,WP,5,4.569121,43,0
67,Belfer Center for Science and International Affairs,2017,NYT,6,4.548092,44,0
68,Belfer Center for Science and International Affairs,2017,WP,4,4.548092,44,0
69,Belfer Center for Science and International Affairs,2018,NYT,1,4.744707,45,0
70,Belfer Center for Science and International Affairs,2018,WP,4,4.744707,45,0
71,Belfer Center for Science and International Affairs,2018,WSJ,4,4.744707,45,0
72,Berggruen Institute,2015,NYT,1,3.182357,5,0
73,Bipartisan Policy Center,2014,WSJ,1,23.009557,7,0
74,Bipartisan Policy Center,2015,WP,1,21.667384,8,0
75,Bipartisan Policy Center,2016,WP,1,22.901624,9,0
76,Bipartisan Policy Center,2017,WP,1,20.321287,10,0
77,Bipartisan Policy Center,2017,WSJ,1,20.321287,10,0
78,Brookings Institution,2014,NYT,18,99.568985,98,0
79,Brookings Institution,2014,WP,18,99.568985,98,0
80,Brookings Institution,2014,WSJ,10,99.568985,98,0
81,Brookings Institution,2015,NYT,15,107.926103,99,0
82,Brookings Institution,2015,WP,14,107.926103,99,0
83,Brookings Institution,2015,WSJ,14,107.926103,99,0
84,Brookings Institution,2016,NYT,18,104.635286,100,0
85,Brookings Institution,2016,WP,12,104.635286,100,0
86,Brookings Institution,2016,WSJ,8,104.635286,100,0
87,Brookings Institution,2017,NYT,20,100.059312,101,0
88,Brookings Institution,2017,WP,18,100.059312,101,0
89,Brookings Institution,2017,WSJ,8,100.059312,101,0
90,Brookings Institution,2018,NYT,18,98.957742,102,0
91,Brookings Institution,2018,WP,27,98.957742,102,0
92,Brookings Institution,2018,WSJ,10,98.957742,102,0
93,Carnegie Endowment for International Peace,2014,NYT,2,32.939297,104,0
94,Carnegie Endowment for International Peace,2014,WP,3,32.939297,104,0
95,Carnegie Endowment for International Peace,2015,NYT,1,33.996712,105,0
96,Carnegie Endowment for International Peace,2015,WP,1,33.996712,105,0
97,Carnegie Endowment for International Peace,2017,WP,1,36.544639,107,0
98,Carnegie Endowment for International Peace,2018,NYT,1,37.395069,108,0
99,Carnegie Endowment for International Peace,2018,WP,1,37.395069,108,0
100,Cato Institute,2014,NYT,5,24.538565,37,1
101,Cato Institute,2014,WP,7,24.538565,37,1
102,Cato Institute,2014,WSJ,6,24.538565,37,1
103,Cato Institute,2015,NYT,2,28.246157,38,1
104,Cato Institute,2015,WP,6,28.246157,38,1
105,Cato Institute,2015,WSJ,5,28.246157,38,1
106,Cato Institute,2016,NYT,3,29.162114,39,1
107,Cato Institute,2016,WP,7,29.162114,39,1
108,Cato Institute,2016,WSJ,2,29.162114,39,1
109,Cato Institute,2017,NYT,5,30.150105,40,1
110,Cato Institute,2017,WP,12,30.150105,40,1
111,Cato Institute,2017,WSJ,3,30.150105,40,1
112,Cato Institute,2018,NYT,5,30.381673,41,1
113,Cato Institute,2018,WP,6,30.381673,41,1
114,Cato Institute,2018,WSJ,1,30.381673,41,1
115,Center for American Progress,2014,NYT,2,42.425026,11,0
116,Center for American Progress,2014,WP,6,42.425026,11,0
117,Center for American Progress,2014,WSJ,4,42.425026,11,0
118,Center for American Progress,2015,NYT,9,47.352861,12,0
119,Center for American Progress,2015,WP,18,47.352861,12,0
120,Center for American Progress,2015,WSJ,9,47.352861,12,0
121,Center for American Progress,2016,NYT,11,40.435643,13,0
122,Center for American Progress,2016,WP,12,40.435643,13,0
123,Center for American Progress,2016,WSJ,2,40.435643,13,0
124,Center for American Progress,2017,NYT,3,46.765901,14,0
125,Center for American Progress,2017,WP,19,46.765901,14,0
126,Center for American Progress,2017,WSJ,4,46.765901,14,0
127,Center for American Progress,2018,NYT,9,43.779143,15,0
128,Center for American Progress,2018,WP,21,43.779143,15,0
129,Center for American Progress,2018,WSJ,1,43.779143,15,0
130,Center for Automotive Research,2014,NYT,11,4.691498,11,0
